iter	Passed	Remaining
1183	4727	491
1184	4731	487
1185	4735	483
1186	4739	479
1187	4743	475
1188	4747	471
1189	4751	467
1190	4755	463
1191	4758	459
1192	4762	455
1193	4766	451
1194	4770	447
1195	4775	443
1196	4779	439
1197	4783	435
1198	4787	431
1199	4791	427
1200	4795	423
1201	4799	419
1202	4803	415
1203	4806	411
1204	4810	407
1205	4814	403
1206	4817	399
1207	4821	395
1208	4825	391
1209	4829	387
1210	4833	383
1211	4836	379
1212	4840	375
1213	4844	371
1214	4848	367
1215	4851	363
1216	4855	359
1217	4859	355
1218	4863	351
1219	4867	347
1220	4871	343
1221	4874	339
1222	4878	335
1223	4882	331
1224	4885	327
1225	4889	323
1226	4892	319
1227	4896	315
1228	4900	311
1229	4903	306
1230	4907	302
1231	4911	298
1232	4915	294
1233	4918	290
1234	4922	286
1235	4925	282
1236	4929	278
1237	4932	274
1238	4936	270
1239	4940	266
1240	4944	262
1241	4947	258
1242	4951	254
1243	4955	250
1244	4958	246
1245	4962	242
1246	4966	238
1247	4969	234
1248	4972	230
1249	4976	226
1250	4980	222
1251	4983	218
1252	4987	214
1253	4990	210
1254	4994	206
1255	4998	202
1256	5002	198
1257	5006	195
1258	5010	191
1259	5014	187
1260	5018	183
1261	5021	179
1262	5024	175
1263	5027	171
1264	5031	167
1265	5034	163
1266	5038	159
1267	5041	155
1268	5046	151
1269	5050	147
1270	5053	143
1271	5058	139
1272	5062	135
1273	5066	131
1274	5070	127
1275	5074	123
1276	5081	119
1277	5086	115
1278	5093	111
1279	5108	107
1280	5119	103
1281	5125	99
1282	5137	96
1283	5143	92
1284	5147	88
1285	5151	84
1286	5155	80
1287	5159	76
1288	5163	72
1289	5166	68
1290	5170	64
1291	5174	60
1292	5178	56
1293	5182	52
1294	5186	48
1295	5190	44
1296	5194	40
1297	5197	36
1298	5201	32
1299	5205	28
1300	5209	24
1301	5213	20
1302	5217	16
1303	5221	12
1304	5225	8
1305	5230	4
1306	5234	0
